evidence_span_id,gold_resource_area,gold_is_determination,gold_determination_class,gold_determination_scope,gold_primary_threshold_type,gold_primary_threshold_status,gold_mitigation_link,gold_evidence_span_ok,gold_needs_human_review,gold_notes,labeler,labeler_confidence
3878223aa0f5e4fd6fd995c8,public_health,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Health/safety impacts concluded not significant via OSHA/EH&S compliance,claude,medium
3878223aa0f5e4fd6fd995c8,noise,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Construction/operation noise attenuates below concern by distance; no numeric regulatory limit cited,claude,medium
8eeda7a4e4bb570515e6592f,water,TRUE,less_than_significant_with_mitigation,resource_specific,wetland_floodplain,mitigated_below,TRUE,TRUE,FALSE,"Category C jurisdictional waters/wetlands LTS conditioned on PCMs/SOPs, 401/404 permits, compensation",claude,medium
8982381aebb924de53c67901,soils_geology,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,"Geology/soils minor; erosion via BMPs, stable loess soils",claude,medium
8982381aebb924de53c67901,land_use,TRUE,less_than_significant,resource_specific,other_quantitative,exceeds,FALSE,TRUE,FALSE,Prime farmland AD-1006 score 174 exceeds 160 trigger but loss (0.02% of county) concluded not significant,claude,medium
f8cd8f1c295769a41a39244c,project_wide,TRUE,no_significant_impact,project_overall,none,,TRUE,TRUE,FALSE,FONSI expressly conditioned on applicant-committed EPMs plus BLM mitigation measures,claude,high
f8cd8f1c295769a41a39244c,cultural,TRUE,less_than_significant_with_mitigation,resource_specific,NHPA_adverse_effect,mitigated_below,TRUE,TRUE,FALSE,NRHP-eligible sites adversely impacted; minimized to less than significant via HPTPs/MOAs,claude,high
f8cd8f1c295769a41a39244c,public_health,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Public health not significant via MSHA regulatory compliance,claude,medium
f8cd8f1c295769a41a39244c,air_quality,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Fugitive dust at Kellis Ranch concluded not significant,claude,medium
f8cd8f1c295769a41a39244c,socioeconomic,TRUE,no_significant_impact,resource_specific,none,,FALSE,TRUE,FALSE,No change in production/staffing; no significant social or economic effects,claude,medium
f9664b6110211854df695390,land_use,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Low impacts; covers recreation,claude,medium
f9664b6110211854df695390,soils_geology,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,"Low to moderate, BMPs/SWPP",claude,medium
f9664b6110211854df695390,biological,TRUE,less_than_significant_with_mitigation,resource_specific,ESA_take,mitigated_below,TRUE,TRUE,FALSE,Covers vegetation (low-moderate) and wildlife; listed-species no-significant conclusion relies on MAP/ESA Sec.7 mitigation,claude,medium
f9664b6110211854df695390,water,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Water quality low-moderate and wetland impacts minimized; covers water quality + wetlands,claude,medium
3f17faba37329d5c8ce3a095,transportation,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Impacts not significant given coordinated area roadway/traffic improvements,claude,medium
ff5a3b6d254a28ccfee09e7a,project_wide,TRUE,no_significant_impact,project_overall,none,,FALSE,TRUE,FALSE,'The Proposed Action would have no significant impacts',claude,high
ff5a3b6d254a28ccfee09e7a,soils_geology,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Geology/soils impacts low,claude,medium
ff5a3b6d254a28ccfee09e7a,land_use,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Land use/recreation low; covers recreation,claude,medium
ff5a3b6d254a28ccfee09e7a,transportation,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Low; minor temporary traffic delays,claude,medium
ef9d9d9e4ec138d9f67aadd0,land_use,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Low except low-moderate residential; covers recreation,claude,medium
ef9d9d9e4ec138d9f67aadd0,visual,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Visual quality low,claude,medium
ef9d9d9e4ec138d9f67aadd0,transportation,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Traffic delays not expected to substantially degrade operations,claude,medium
b5e3876f8b6a61094b667629,land_use,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Low except low-moderate residential; covers recreation,claude,medium
b5e3876f8b6a61094b667629,visual,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Visual quality low,claude,medium
b5e3876f8b6a61094b667629,transportation,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Traffic delays not expected to substantially degrade operations,claude,medium
0d047a165acc02bca6735171,cultural,TRUE,no_significant_impact,resource_specific,NHPA_adverse_effect,does_not_exceed,FALSE,TRUE,FALSE,No historic properties adversely affected; SHPO concurred; includes Native American/tribal consultation,claude,medium
